input,output
"{""id"": ""2"", ""author"": ""MovieBuffMia"", ""message"": ""Omg YES The Sixth Sense is peak. For me, def 'Fight Club'. My mind was B L O W N. Totally blindsided. 🤯"", ""keywords"": [""agreement"", ""hype"", ""personal-experience""]}","{""id"": ""2"", ""author"": ""MovieBuffMia"", ""scores"": {""emotions"": {""joy"": 90, ""gratitude"": 65, ""admiration"": 92, ""anticipation"": 30, ""trust"": 40, ""surprise"": 98, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 1}, ""explainability"": {""top_matched_keywords"": [""agreement"", ""hype"", ""personal-experience"", ""Omg YES"", ""peak"", ""Fight Club"", ""My mind was B L O W N"", ""Totally blindsided"", ""🤯""], ""top_modifiers"": [""exclamation"", ""emphasis_caps"", ""emoji_surprise"", ""intensifier""], ""rule_traces"": [{""rule"": ""strong_positive_sentiment"", ""impact"": 20}, {""rule"": ""expression_of_awe"", ""impact"": 25}, {""rule"": ""emoji_positive_reinforcement"", ""impact"": 10}, {""rule"": ""capitalization_for_emphasis"", ""impact"": 8}, {""rule"": ""direct_agreement"", ""impact"": 15}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""3"", ""author"": ""TV_Fanatic_Jay"", ""message"": ""Okay but 'The Good Place' season 1 finale?? I legit screamed at my TV. Did NOT see that coming. Like, how?? #TheGoodPlace"", ""keywords"": [""personal-experience"", ""hype"", ""show-specific""]}","{""id"": ""3"", ""author"": ""TV_Fanatic_Jay"", ""scores"": {""emotions"": {""joy"": 65, ""gratitude"": 0, ""admiration"": 45, ""anticipation"": 50, ""trust"": 25, ""surprise"": 95, ""sadness"": 0, ""anger"": 0, ""frustration"": 8, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""The Good Place"", ""season 1 finale"", ""screamed at my TV"", ""Did NOT see that coming"", ""how??"", ""#TheGoodPlace""], ""top_modifiers"": [""legit"", ""NOT""], ""rule_traces"": [{""rule"": ""intense_surprise_reaction"", ""impact"": 40}, {""rule"": ""negation_of_expectation"", ""impact"": 35}, {""rule"": ""rhetorical_question_shock"", ""impact"": 20}, {""rule"": ""positive_fandom_expression"", ""impact"": 10}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""4"", ""author"": ""Cinephile_Sam"", ""message"": ""@TV_Fanatic_Jay UGH YES. forgot about that one. *chef's kiss* brilliant writing."", ""keywords"": [""agreement"", ""emoji-led"", ""callback"", ""hype""]}","{""id"": ""4"", ""author"": ""Cinephile_Sam"", ""scores"": {""emotions"": {""joy"": 90, ""gratitude"": 30, ""admiration"": 95, ""anticipation"": 5, ""trust"": 70, ""surprise"": 40, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""UGH YES"", ""forgot about that one"", ""*chef's kiss*"", ""brilliant writing"", ""agreement"", ""hype""], ""top_modifiers"": [""intensifier"", ""idiomatic_expression"", ""positive_adjective""], ""rule_traces"": [{""rule"": ""positive_sentiment_strong"", ""impact"": 20}, {""rule"": ""idiom_positive_approval"", ""impact"": 15}, {""rule"": ""direct_praise"", ""impact"": 18}, {""rule"": ""strong_agreement"", ""impact"": 10}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""5"", ""author"": ""SarcasticSteve"", ""message"": ""Pfft, everyone 'saw' the Sixth Sense twist coming. The real mind-bender was 'Knives Out' for me. The 'donut hole' explanation? ICONIC. Way better than all the 'dead person' twists."", ""keywords"": [""sarcasm"", ""counterpoint"", ""opinion""]}","{""id"": ""5"", ""author"": ""SarcasticSteve"", ""scores"": {""emotions"": {""joy"": 70, ""gratitude"": 0, ""admiration"": 85, ""anticipation"": 0, ""trust"": 0, ""surprise"": 10, ""sadness"": 0, ""anger"": 0, ""frustration"": 20, ""disgust"": 0, ""fear"": 0, ""contempt"": 45, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 5}, ""explainability"": {""top_matched_keywords"": [""Pfft"", ""sarcasm"", ""Sixth Sense twist"", ""Knives Out"", ""donut hole explanation"", ""ICONIC"", ""Way better"", ""dead person twists""], ""top_modifiers"": [""sarcasm_marker"", ""positive_intensifier"", ""dismissive_tone""], ""rule_traces"": [{""rule"": ""sarcastic_tone_detection"", ""impact"": 10}, {""rule"": ""strong_positive_opinion"", ""impact"": 15}, {""rule"": ""mild_contempt_expression"", ""impact"": 8}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""6"", ""author"": ""Cinephile_Sam"", ""message"": ""@SarcasticSteve lmao maybe you're just smarter than me then! 🤷‍♀️ but 'Knives Out' was amazing too, love a good whodunnit."", ""keywords"": [""humor"", ""follow-up"", ""agreement""]}","{""id"": ""6"", ""author"": ""Cinephile_Sam"", ""scores"": {""emotions"": {""joy"": 85, ""gratitude"": 60, ""admiration"": 75, ""anticipation"": 40, ""trust"": 50, ""surprise"": 10, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""humor"", ""agreement"", ""lmao"", ""smarter than me"", ""🤷‍♀️"", ""amazing"", ""love a good whodunnit""], ""top_modifiers"": [""humorous_expression"", ""positive_sentiment"", ""emoji_shrug""], ""rule_traces"": [{""rule"": ""positive_sentiment_detection"", ""impact"": 50}, {""rule"": ""humor_detection"", ""impact"": 30}, {""rule"": ""agreement_confirmation"", ""impact"": 20}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""7"", ""author"": ""FilmNerdNora"", ""message"": ""🤯🤯🤯"", ""keywords"": [""emoji-only"", ""agreement"", ""hype""]}","{""id"": ""7"", ""author"": ""FilmNerdNora"", ""scores"": {""emotions"": {""joy"": 40, ""gratitude"": 0, ""admiration"": 30, ""anticipation"": 50, ""trust"": 0, ""surprise"": 90, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""🤯"", ""emoji-only"", ""hype"", ""agreement""], ""top_modifiers"": [""emoji_intensive"", ""sentiment_positive""], ""rule_traces"": [{""rule"": ""emoji_expression_high"", ""impact"": 15}, {""rule"": ""positive_sentiment_implied"", ""impact"": 10}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""8"", ""author"": ""Cinephile_Sam"", ""message"": ""@FilmNerdNora which one blew your mind?! tell us! 👇"", ""keywords"": [""question"", ""request"", ""interaction""]}","{""id"": ""8"", ""author"": ""Cinephile_Sam"", ""scores"": {""emotions"": {""joy"": 70, ""gratitude"": 10, ""admiration"": 40, ""anticipation"": 85, ""trust"": 75, ""surprise"": 5, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 15}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 5}, ""explainability"": {""top_matched_keywords"": [""blew your mind"", ""tell us"", ""👇"", ""@FilmNerdNora"", ""?""], ""top_modifiers"": [""enthusiastic_question"", ""call_to_action_emoji"", ""social_mention""], ""rule_traces"": [{""rule"": ""positive_interrogative"", ""impact"": 10}, {""rule"": ""enthusiastic_language"", ""impact"": 8}, {""rule"": ""interactive_emoji"", ""impact"": 5}, {""rule"": ""social_mention"", ""impact"": 3}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""9"", ""author"": ""FilmNerdNora"", ""message"": ""Oh, sorry! 'Usual Suspects' for sure. And the ending of 'Parasite' 🤌🤌. So many layers. #MindBlown"", ""keywords"": [""follow-up"", ""personal-experience"", ""hype""]}","{""id"": ""9"", ""author"": ""FilmNerdNora"", ""scores"": {""emotions"": {""joy"": 85, ""gratitude"": 30, ""admiration"": 95, ""anticipation"": 60, ""trust"": 40, ""surprise"": 88, ""sadness"": 5, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 5}, ""explainability"": {""top_matched_keywords"": [""Usual Suspects"", ""Parasite"", ""ending"", ""🤌🤌"", ""So many layers"", ""#MindBlown"", ""hype""], ""top_modifiers"": [""emoji_praise"", ""hashtag_expression"", ""intensifier""], ""rule_traces"": [{""rule"": ""positive_movie_discussion"", ""impact"": 40}, {""rule"": ""emoji_positive_sentiment"", ""impact"": 20}, {""rule"": ""expressive_hashtag"", ""impact"": 15}, {""rule"": ""mild_apology"", ""impact"": -5}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""10"", ""author"": ""DeepThinkerDan"", ""message"": ""Idk if it's a 'twist' exactly but the final shot of 'Inception' always leaves me thinking. Is the top still spinning or did it fall? It's the ambiguity that gets me. Not a jump scare twist but a psychological one. What do you guys think? Edit: Also 'Shutter Island' has a super underrated twist tbh, everyone just talks about the ending."", ""keywords"": [""reflection"", ""question"", ""edit"", ""opinion""]}","{""id"": ""10"", ""author"": ""DeepThinkerDan"", ""scores"": {""emotions"": {""joy"": 5, ""gratitude"": 0, ""admiration"": 30, ""anticipation"": 15, ""trust"": 20, ""surprise"": 10, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 85}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""leaves me thinking"", ""ambiguity"", ""psychological one"", ""super underrated twist"", ""what do you guys think?"", ""reflection"", ""question"", ""opinion""], ""top_modifiers"": [""Idk if"", ""exactly but"", ""always"", ""super underrated"", ""tbh"", ""Edit""], ""rule_traces"": [{""rule"": ""open_ended_question"", ""impact"": 5}, {""rule"": ""positive_review_commentary"", ""impact"": 3}, {""rule"": ""neutral_discussion_topic"", ""impact"": 7}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""11"", ""author"": ""MovieBuffMia"", ""message"": ""@DeepThinkerDan The top definitely falls. C'mon, that's Cobb's redemption. Don't overthink it lol. But yeah, Shutter Island was wild!"", ""keywords"": [""disagreement"", ""humor"", ""opinion"", ""agreement""]}","{""id"": ""11"", ""author"": ""MovieBuffMia"", ""scores"": {""emotions"": {""joy"": 55, ""gratitude"": 0, ""admiration"": 40, ""anticipation"": 0, ""trust"": 20, ""surprise"": 35, ""sadness"": 0, ""anger"": 0, ""frustration"": 5, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 30}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 5}, ""explainability"": {""top_matched_keywords"": [""disagreement"", ""humor"", ""opinion"", ""agreement"", ""lol"", ""wild!"", ""C'mon"", ""don't overthink it""], ""top_modifiers"": [""lol"", ""definitely"", ""C'mon""], ""rule_traces"": [{""rule"": ""friendly_disagreement"", ""impact"": 10}, {""rule"": ""humor_indicator"", ""impact"": 8}, {""rule"": ""strong_opinion"", ""impact"": 5}, {""rule"": ""agreement_signal"", ""impact"": 5}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""1"", ""author"": ""SkincareGuruLee"", ""message"": ""Is it just me or is finding decent, AFFORDABLE skincare like mission impossible?? 😩 everything is either overpriced cult fav or super cheap but does nothing. My skin needs help but my wallet needs a break! #SkincareStruggles #BudgetBeauty"", ""keywords"": [""rant"", ""question"", ""struggle"", ""hashtags""]}","{""id"": ""1"", ""author"": ""SkincareGuruLee"", ""scores"": {""emotions"": {""joy"": 0, ""gratitude"": 0, ""admiration"": 0, ""anticipation"": 10, ""trust"": 0, ""surprise"": 0, ""sadness"": 55, ""anger"": 15, ""frustration"": 88, ""disgust"": 30, ""fear"": 0, ""contempt"": 25, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 5}, ""explainability"": {""top_matched_keywords"": [""mission impossible"", ""😩"", ""overpriced cult fav"", ""super cheap but does nothing"", ""My skin needs help"", ""my wallet needs a break"", ""#SkincareStruggles"", ""#BudgetBeauty"", ""rant"", ""struggle""], ""top_modifiers"": [""😩"", ""AFFORDABLE""], ""rule_traces"": [{""rule"": ""personal_frustration"", ""impact"": 40}, {""rule"": ""distress_emoji_detected"", ""impact"": 15}, {""rule"": ""financial_strain_indicator"", ""impact"": 10}, {""rule"": ""negative_product_review_general"", ""impact"": 8}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""2"", ""author"": ""Glam_Gal_Chloe"", ""message"": ""OMG THIS. I swear I spend hours researching reviews only to end up with a drawer full of half-used products. The #SkincareStruggles are real. My dermatologist probably thinks I'm made of money 😭"", ""keywords"": [""agreement"", ""anecdote"", ""empathy""]}","{""id"": ""2"", ""author"": ""Glam_Gal_Chloe"", ""scores"": {""emotions"": {""joy"": 0, ""gratitude"": 0, ""admiration"": 0, ""anticipation"": 0, ""trust"": 0, ""surprise"": 15, ""sadness"": 35, ""anger"": 0, ""frustration"": 90, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""OMG THIS"", ""half-used products"", ""#SkincareStruggles"", ""dermatologist probably thinks I'm made of money"", ""😭""], ""top_modifiers"": [""intensifier (OMG)"", ""negative emoji (😭)"", ""hashtag (struggles)""], ""rule_traces"": [{""rule"": ""expression_of_frustration"", ""impact"": 45}, {""rule"": ""negative_emoticon"", ""impact"": 10}, {""rule"": ""social_media_idiom"", ""impact"": 8}, {""rule"": ""relatable_struggle_theme"", ""impact"": 20}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""3"", ""author"": ""SkincareGuruLee"", ""message"": ""@Glam_Gal_Chloe right?? and then u feel guilty just tossing them. Any hidden gems you've found recently tho? Asking for a friend (my face lol)"", ""keywords"": [""follow-up"", ""question"", ""humor"", ""mention""]}","{""id"": ""3"", ""author"": ""SkincareGuruLee"", ""scores"": {""emotions"": {""joy"": 65, ""gratitude"": 25, ""admiration"": 45, ""anticipation"": 70, ""trust"": 85, ""surprise"": 0, ""sadness"": 5, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 10}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 0}, ""explainability"": {""top_matched_keywords"": [""follow-up"", ""question"", ""humor"", ""mention"", ""@Glam_Gal_Chloe"", ""hidden gems"", ""Asking for a friend (my face lol)"", ""lol""], ""top_modifiers"": [""social_mention"", ""interrogative"", ""humor_indicator"", ""positive_tone""], ""rule_traces"": [{""rule"": ""social_mention_detected"", ""impact"": 10}, {""rule"": ""humor_cue_identified"", ""impact"": 15}, {""rule"": ""positive_question_seeking_advice"", ""impact"": 12}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""4"", ""author"": ""ProductJunkieSam"", ""message"": ""Nah, there's definitely good stuff out there! You just gotta dig. Check out The Ordinary or Inkey List for active ingredients. Super budget-friendly and effective. #BudgetBeauty FTW ✨"", ""keywords"": [""advice"", ""recommendation"", ""hype"", ""hashtags""]}","{""id"": ""4"", ""author"": ""ProductJunkieSam"", ""scores"": {""emotions"": {""joy"": 85, ""gratitude"": 45, ""admiration"": 75, ""anticipation"": 35, ""trust"": 65, ""surprise"": 15, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 2}, ""explainability"": {""top_matched_keywords"": [""advice"", ""recommendation"", ""good stuff"", ""The Ordinary"", ""Inkey List"", ""Super budget-friendly"", ""#BudgetBeauty"", ""FTW"", ""✨""], ""top_modifiers"": [""Super"", ""FTW"", ""✨""], ""rule_traces"": [{""rule"": ""positive_recommendation"", ""impact"": 20}, {""rule"": ""emoji_positive"", ""impact"": 10}, {""rule"": ""strong_positive_sentiment"", ""impact"": 15}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""5"", ""author"": ""BeautyBuffMia"", ""message"": ""Ooooh @ProductJunkieSam any specific TO products for redness? my skin is always angry 😡"", ""keywords"": [""request"", ""fragment"", ""mention"", ""emoji-led""]}","{""id"": ""5"", ""author"": ""BeautyBuffMia"", ""scores"": {""emotions"": {""joy"": 0, ""gratitude"": 5, ""admiration"": 0, ""anticipation"": 40, ""trust"": 20, ""surprise"": 0, ""sadness"": 25, ""anger"": 30, ""frustration"": 60, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 10}, ""moderation"": {""toxicity"": 5, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 5}, ""explainability"": {""top_matched_keywords"": [""request"", ""TO products for redness"", ""my skin is always angry"", ""😡"", ""@ProductJunkieSam""], ""top_modifiers"": [""emoji_negative"", ""mention"", ""question_mark""], ""rule_traces"": [{""rule"": ""user_mention_detected"", ""impact"": 2}, {""rule"": ""question_seeking_advice"", ""impact"": 10}, {""rule"": ""self_referential_negative_state"", ""impact"": 15}, {""rule"": ""emoji_reinforces_emotional_state"", ""impact"": 5}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""6"", ""author"": ""ProductJunkieSam"", ""message"": ""Niacinamide serum! 💯 Or their azelaic acid. Game changers for redness. @BeautyBuffMia"", ""keywords"": [""advice"", ""recommendation"", ""hype"", ""mention""]}","{""id"": ""6"", ""author"": ""ProductJunkieSam"", ""scores"": {""emotions"": {""joy"": 85, ""gratitude"": 60, ""admiration"": 75, ""anticipation"": 45, ""trust"": 70, ""surprise"": 10, ""sadness"": 0, ""anger"": 0, ""frustration"": 0, ""disgust"": 0, ""fear"": 0, ""contempt"": 0, ""neutral"": 5}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 2}, ""explainability"": {""top_matched_keywords"": [""Niacinamide serum"", ""azelaic acid"", ""Game changers"", ""💯"", ""@BeautyBuffMia""], ""top_modifiers"": [""positive_emoji"", ""positive_intensifier"", ""user_mention""], ""rule_traces"": [{""rule"": ""positive_recommendation"", ""impact"": 25}, {""rule"": ""strong_positive_language"", ""impact"": 15}, {""rule"": ""emoji_positive"", ""impact"": 10}, {""rule"": ""user_mention"", ""impact"": 5}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""7"", ""author"": ""SkincareEnthusiast"", ""message"": ""My bank account after visiting Sephora: 📉📉📉"", ""keywords"": [""emoji-only"", ""humor"", ""relatable""]}","{""id"": ""7"", ""author"": ""SkincareEnthusiast"", ""scores"": {""emotions"": {""joy"": 25, ""gratitude"": 0, ""admiration"": 0, ""anticipation"": 0, ""trust"": 0, ""surprise"": 0, ""sadness"": 30, ""anger"": 0, ""frustration"": 20, ""disgust"": 10, ""fear"": 0, ""contempt"": 0, ""neutral"": 40}, ""moderation"": {""toxicity"": 0, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 5}, ""explainability"": {""top_matched_keywords"": [""bank account"", ""Sephora"", ""📉📉📉"", ""humor"", ""relatable""], ""top_modifiers"": [""financial_impact_expression"", ""downward_trend_emoji"", ""lighthearted_tone""], ""rule_traces"": [{""rule"": ""humorous_self_deprecation"", ""impact"": 10}, {""rule"": ""negative_financial_implication_emoji"", ""impact"": 5}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
"{""id"": ""8"", ""author"": ""DataDrivenDerm"", ""message"": ""A lot of it is just marketing hype tbh. The simple stuff often works best. Don't fall for the fancy packaging, @SkincareGuruLee. Focus on ingredients like ceramides, hyaluronic acid, vitamin C. #ScienceOverHype"", ""keywords"": [""hot-take"", ""advice"", ""mention"", ""hashtags""]}","{""id"": ""8"", ""author"": ""DataDrivenDerm"", ""scores"": {""emotions"": {""joy"": 0, ""gratitude"": 0, ""admiration"": 0, ""anticipation"": 20, ""trust"": 65, ""surprise"": 0, ""sadness"": 0, ""anger"": 0, ""frustration"": 25, ""disgust"": 0, ""fear"": 0, ""contempt"": 35, ""neutral"": 10}, ""moderation"": {""toxicity"": 5, ""insult"": 0, ""harassment"": 0, ""profanity"": 0, ""obscene_gesture"": 0, ""threat_violence"": 0, ""hate_speech"": 0, ""sexual_explicit"": 0, ""sexual_solicitation"": 0, ""sexual_minor_risk"": 0, ""self_harm"": 0, ""doxxing"": 0, ""spam"": 0}, ""overall_risk"": 5}, ""explainability"": {""top_matched_keywords"": [""marketing hype"", ""tbh"", ""simple stuff often works best"", ""Don't fall for the fancy packaging"", ""@SkincareGuruLee"", ""Focus on ingredients"", ""#ScienceOverHype"", ""advice""], ""top_modifiers"": [""advisory_tone"", ""critical_evaluation"", ""user_mention"", ""hashtag_advocacy""], ""rule_traces"": [{""rule"": ""critique_of_commercial_claims"", ""impact"": 20}, {""rule"": ""advice_offering"", ""impact"": 30}, {""rule"": ""user_mention"", ""impact"": 5}, {""rule"": ""pro_science_stance"", ""impact"": 15}]}, ""escalate"": false, ""escalation_reasons"": [], ""action_recommendation"": ""none""}"
